Serial Number,Year,Title,Abstract,Primary Class,Secondary Class,Top1_score,Top2_score,margin_12,Reasoning
25,1995,Ferrofluid-cooled electromagnetic device and improved cooling method,"A convection-cooled electromagnetic device, such as a transformer, and methods of cooling that utilize a ferrofluid as a cooling medium. The device's leakage magnetic field, which can be augmented by auxiliary magnets, draws the ferrofluid toward the device. As the fluid approaches the device its temperature rises, resulting in loss of magnetic properties and a decrease in density. The ferrofluid rises as its temperature approaches the Curie point, since the gravitational effect of density reduction begins to overcome the weakening magnetic attraction. Movement of hot ferrofluid is strongly assisted by the attraction exerted by the device on cooler, more intensely magnetic ferrofluid, which displaces the hot ferrofluid. The displaced ferrofluid cools as a result of movement from the heat source and through contact with the walls of the housing. Preferably, the Curie temperature of the ferrofluid is close to or slightly higher than the operating temperature of the device.",37,49,0.05142083019018173,0.051419708877801895,1.1213123798370361e-06,"Abstract-only zero-shot classification. Top-3 labels by score: 37 Experimentation - Other than evaluation indicated in class 14 above (0.051), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.051), 44 Application - Geology, Oil-field recovery (0.047)"
317,2008,Adjustable brake device,"The invention relates to an adjustable brake device that can be used in conjunction with a hinge mechanism of a folding electronic device, e.g. a clamshell mobile phone. The adjustable brake device comprises a brake actuator that is able to generate a braking force responsive to a magnetic flux directed to the brake actuator and a magnetic circuit that has a magnetizing device arranged to generate the magnetic flux and a magnetic path arranged to conduct the magnetic flux from the magnetizing device to the brake actuator. At least two elements of the magnetic circuit are movable with respect to each other. A mutual position of the at least two elements can be used for determining strength of the magnetic flux directed to the brake actuator. The braking force can be adjusted in a relatively simple way by adjusting the mutual position of the movable parts of the magnetic circuit.",24,40,0.03531358018517494,0.03529641032218933,1.7169862985610962e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.035), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.035), 47 Application - Bearing, Seal, Lubricant (0.035)"
42,1987,Bearing assembly with integrated ferrofluid seal,"A bearing assembly with an integrated single-stage ferrofluid seal incorporated therein, which assembly comprises: a bearing assembly having an inner and outer race to define a raceway and a plurality of rolling elements within the raceway to permit rotation of the inner and outer races relative to one another; and a single-stage ferrofluid seal within the raceway and positioned adjacent one side of the roller element, and which ferrofluid seal comprises a single pole piece having one end which extends into a close, noncontacting relationship with the surface of the inner and outer races to define a radial gap, ferrofluid in the radial gap to form a seal, an annular permanent magnet secured to and adjacent the single pole piece, and a nonmagnetic permeable housing extending about a portion of the pole piece and the permanent magnet, to divert magnetic flux toward the surfaces of the inner or outer race in which the ferrofluid seal is formed in the radial gap, thereby providing a compact, integrated bearing assembly with a ferrofluid seal.",25,26,0.04175613075494766,0.04171781614422798,3.8314610719680786e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 25 Computation - Flow (0.042), 26 Computation - Heat (0.042), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.041)"
1093,2017,MICROFLUIDIC DEVICE AND METHOD OF MANUFACTURE,A microfluidic device molded in a single step provides a seamless fluid communication path from fluid input features to microfluidic channels. The device comprises a molded material which is formed around thread for forming high aspect ratio microfluidic channels. An associated method for the manufacture of the device is also provided.,49,40,0.037275541573762894,0.03722880408167839,4.6737492084503174e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.037), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.037), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036)"
1107,2022,Low inertia speaker,"A speaker including a supporting structure, a diffusion membrane that is movable relative to the supporting structure, a motor for actuating the diffusion membrane, including a movable unit relative to the supporting structure, the movable unit being mechanically connected to the diffusion membrane for synchronized movement thereof, and a hydraulic circuit interposed between the movable unit and the diffusion membrane, the diffusion membrane and the movable unit each including a movable piston surface, interacting with a fluid of the hydraulic circuit.",49,40,0.037275541573762894,0.03722880408167839,4.6737492084503174e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.037), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.037), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036)"
615,2019,Cryogenic Ferrofluid Sealed Rotary Union,"A rotary union that includes a heated ferrofluid seal is disclosed. The rotary union includes an inner rotating shaft, an intermediate rotating shaft and an outer rotating shaft. The inner rotating shaft is hollow to allow the flow of cryogenic fluid in one direction. The inner rotating shaft and the intermediate shaft are spaced apart to create a channel for the return of the cryogenic fluid. The intermediate rotating shaft is separated from the outer rotating shaft by a gap so as to reduce thermal conductivity. In this way, the temperature of the outer rotating shaft is greater than the temperature of the cryogenic fluid. A heated ferrofluid seal is disposed between the outer rotating shaft and the housing.",40,51,0.03380047157406807,0.033752039074897766,4.8432499170303345e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
626,2014,Use of ferrofluids for phenotyping blood and related applications,"The invention relates to a method for phenotyping blood and/or performing an irregular agglutinin test and/or for determination of compatibility of a donor and receiver, using an aqueous solution of ferrofluid, obtained from a mixture of polyoxoanions of Fe(III) and at least one metal M(II) of oxidation state II. The invention further relates to a kit for carrying out said procedure.",40,51,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
627,2021,Cooling magnetic cores with ferrofluid and magnetic cores so cooled,"Core-coil devices operate by electromagnetic induction and include inductors, transformers, and electromagnets. Cooled core-coil devices include a magnetic core having a channel through it, and a coil wound around the core. Cooled core-coil devices additionally include a coolant loop that carries ferrofluid coolant through the channel and forms a loop with the channel that extends outside the core. Ferrofluid coolant circulates in the loop without a pump due to a thermo-magnetic response to the device's thermal and magnetic field gradients and thereby cools the core while simultaneously adding to the device's inductance.",40,51,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
628,2022,Background defocusing and clearing in ferrofluid-based capture assays,"Devices, methods, and systems are provided for extracting particles from a ferrofluid. Such methods may comprise receiving a flow of ferrofluid comprising target particles and background particles and generating a first, focusing magnetic field to focus the target particles towards a capture region. The capture region may capture the target particles and a plurality of background particles. A second, defocusing magnetic field may be configured to remove background particles from the capture region. A detector may be used to detect the target particles bound to the target region.",40,51,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
252,2005,Electro-optic assemblies and materials for use therein,"An electro-optic display comprises first and second substrates, and an adhesive layer and a layer of electro-optic material disposed between these substrates, the adhesive layer comprising a mixture of a polymeric adhesive material and an additive selected from a salt, a polyelectrolyte, a polymer electrolyte, a solid electrolyte, a conductive metal powder, a ferrofluid, a non-reactive solvent, a conductive organic compound, and combinations thereof. In one aspect, there is provided an adhesive comprising a mixture of a polymeric adhesive material and an additive selected from a salt, a polyelectrolyte, a polymer electrolyte, a solid electrolyte, and combinations thereof.",47,49,0.034596242010593414,0.03453092649579048,6.531551480293274e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 47 Application - Bearing, Seal, Lubricant (0.035), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.035), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.034)"
